Species,Genus,Species_name,Cultivar,BiomeType,Woody_Herbaceous,Evergreen_Deciduous_Herb,Biome,Crop_FunctionalType_Category,Tree_Shrub_Herb,OsmoticPotential_WET_MPa,OsmoticPotential_DRY_MPa,OsmoticAdjustment_MPa,TLP_WET_MPa,TLP_DRY_MPa,TLP_Adjustment_MPa,TLP_Adjustment_contribution_to_TLP_DRY_percent,RWC_total_wet_percent,RWC_total_dry_percent,RWC_total_Adjustment_percent,Reference,Hardening_Treatment
Zea mays,Zea,mays,CENIAP-DMR,Wet,H,H,Crop,CropH,H,-0.75,-1.33,-0.58,-1.12,-2.1,-0.98,46.66666667,69,73,4,Sobrado 1986,No
Zea mays,Zea,mays,Maize de Falcon,Wet,H,H,Crop,CropH,H,-0.78,-1.3,-0.52,-1.02,-1.77,-0.75,42.37288136,76,77,1,Sobrado 1986,No
Zea mays,Zea,mays,Intervarietal Falcon,Wet,H,H,Crop,CropH,H,-0.69,-1.22,-0.53,-1,-1.6,-0.6,37.5,75,78,3,Sobrado 1986,No
Coffea arabica,Coffea,arabica,Catuai,Wet,W,E,Crop,CropW,S,-1.5,-1.55,-0.05,-1.86,-1.95,-0.09,4.615384615,,,,Meinzer et al. 1990,No
Solanum melongena,Solanum,melongena,,Wet,W,E,Crop,CropW,,,,,-0.69,-0.75,-0.06,8,93.7,90,-3.7,Eamus & Narayan 1990,No
Fragaria annanasa,Fragaria,annanasa,,Wet,H,H,Crop,CropH,H,-1.43,-1.85,-0.42,-1.89,-2.1,-0.21,10,,,,Save et al. 1993,Yes
Coffea arabica,Coffea,arabica,Guatemalan,Wet,W,E,Crop,CropW,S,-1.53,-1.78,-0.25,-1.85,-2.06,-0.21,10.19417476,,,,Meinzer et al. 1990,No
Coffea arabica,Coffea,arabica,Mokka,Wet,W,E,Crop,CropW,S,-1.45,-1.92,-0.47,-1.81,-2.55,-0.74,29.01960784,,,,Meinzer et al. 1990,No
Zea mays,Zea,mays,Sintetico San Andres,Wet,H,H,Crop,CropH,H,-0.92,-1.26,-0.34,-1.21,-1.7,-0.49,28.82352941,79,80,1,Sobrado 1986,No
Zea mays,Zea,mays,Criollo gallero,Wet,H,H,Crop,CropH,H,-0.9,-1.28,-0.38,-1.33,-1.75,-0.42,24,69,78,9,Sobrado 1986,No
Coffea arabica,Coffea,arabica,San Ramon,Wet,W,E,Crop,CropW,S,-1.48,-1.45,0.03,-1.78,-1.85,-0.07,3.783783784,,,,Meinzer et al. 1990,No
Coffea arabica,Coffea,arabica,Yellow Caturra,Wet,W,E,Crop,CropW,S,-1.45,-1.58,-0.13,-1.78,-1.98,-0.2,10.1010101,,,,Meinzer et al. 1990,No
Saccharum spp,Saccharum,ssp,H69-8235,Wet,H,H,Crop,CropH,H,-0.86,-0.91,-0.05,-1.32,-1.78,-0.46,25.84269663,76,66.6,-9.4,Saliendra & Meinzer 1991,No
Zea mays,Zea,mays,Minitia,Wet,H,H,Crop,CropH,H,-0.85,-1.18,-0.33,-1.1,-1.69,-0.59,34.9112426,78,76,-2,Sobrado 1986,No
Saccharum spp,Saccharum,ssp,H67-5630,Wet,H,H,Crop,CropH,H,-0.92,-1.11,-0.19,-1.51,-1.79,-0.28,15.6424581,75.6,74.3,-1.3,Saliendra & Meinzer 1991,No
Saccharum spp,Saccharum,ssp,H65-7052,Wet,H,H,Crop,CropH,H,-0.98,-1.01,-0.03,-1.6,-1.79,-0.19,10.61452514,75.1,69.8,-5.3,Saliendra & Meinzer 1991,No
Medicago truncatula,Medicago,truncatula,,Wet,W,E,Crop,CropW,S,-1.15,-1.78,-0.63,-1.96,-2.44,-0.48,19.67213115,,,,Nunes et al. 2008,No
Vitis vinifera,Vitis,vinifera,,Wet,W,D,Crop,CropW,V,-1.42,-1.83,-0.41,-1.83,-2.32,-0.49,21.12068966,91.7,85.6,-6.1,Patakas et al. 2002,No
Olea europa,Olea,europa,Cobrancosa,Wet,W,E,Crop,CropW,T,-1.04,-1.81,-0.77,-1.44,-2.26,-0.82,36.28318584,89.4,89.2,-0.2,Bacelar et al. 2006,No
Olea europa,Olea,europa,Madural,Wet,W,E,Crop,CropW,T,-0.65,-1.53,-0.88,-0.8,-2.37,-1.57,66.24472574,92.7,80.8,-11.9,Bacelar et al. 2006,No
Olea europa,Olea,europa,Verdeal Transmontana,Wet,W,E,Crop,CropW,T,-0.98,-1.14,-0.16,-1.47,-1.71,-0.24,14.03508772,89.1,89.7,0.6,Bacelar et al. 2006,No
Phoenix dactylifera,Phoenix,dactylifera,Khalt,Wet,H,H,Crop,CropH,,-0.48,-2.09,-1.61,-1.532,-2.853,-1.321,46.3021381,98.62,92.42,-6.2,Baslam et al. 2013,No
Ceratonia siliqua,Ceratonia,siliqua,Espargal,Wet,W,E,Crop,CropW,T,-1.67,-1.75,-0.08,-1.8,-1.89,-0.09,4.761904762,94.5,94.8,0.3,Correia et al. 2001,Yes
