Species,Biome,GrowthForm,Ever_Decid,Pot_osmot,TLP,Mod_elast,Apo_frac,RWC_symp_tlp,RWC_tlp,LMA,Reference
Abies grandis,TemperateConifer,W,E,-2.11,-2.4,25.6,0.134,,,,Jackson & Spomer 1979
Abronia maritima,Coastal,H,,-1.28,,,,,,,Whitfield 1932
Acacia greggii,SemiDesert,W,E,-2.59,-4.25,,,74,,,Nilsen et al. 1984
Acer campestre,Temperate,W,D,-1.5,-1.9,7.9,0.1,84,,95.2,Burghardt & Riederer 2003
Acer rubrum,Temperate,W,D,-1.23,-1.45,6.4,,,87.8,38.7,Kubiske & Pregitzer 1997
Adenostoma fasciculatum,Med/TempDry,W,E,-2.74,,,,,,231.7,Whitfield 1932
Aegiphila lhotzkiana,TropicalDry,W,D,-1.05,-1.25,,,,,95.6,Hao et al. 2008
Aegiphila sellowiana,TropicalDry,W,D,-1.08,-1.2,,,,,78.2,Hao et al. 2008
Alberta magna,Temperate,W,E,-1.39,-1.97,8.08,0.45,,,,Scoffoni et al. 2008
Alnus nepalensis,Temperate,W,D,-1.35,-1.62,7.58,,,83,,Shrestha et al. 2008
Ambrosia psilostachya,Coastal,H,,-1.47,,,,,,,Whitfield 1932
Amsinckia intermedia,Coastal,H,,-1.14,,,,,,,Whitfield 1932
Anacardium nanum,TropicalDry,W,D,-1.36,-1.45,12.76,,,96.7,,Wenhui 1998
Anadenanthera falcata,TropicalDry,W,D,-2.25,-2.6,26.1,,,89.9,,Wenhui 1998
Andropogon glomeratus,Temperate,H,,-1.29,-1.52,,,,,,Bowman & Strain 1988
Andropogon hallii,Coastal,H,,-1.18,-1.41,,,,,,Barnes 1985
Annona coriacea,TropicalDry,W,E,-2.16,-2.35,23.71,,,92.5,149,Wenhui 1998
Aporosa globifera,TropicalMoist,W,E,-1.15,-1.46,7.57,0.193,,,,Baltzer et al. 2008
Aporosa microstachya,TropicalMoist,W,E,-1.49,-1.68,24.87,0.466,,,45.7,Baltzer et al. 2008
Aporosa symplocoides,TropicalMoist,W,E,-1.15,-1.22,9.46,0.252,,,,Baltzer et al. 2008
