"","Species","Biome","Growth.Form","Ever.Decid","TLP","totRWCtlp","Po","LMA","SWC","LMA_imputed","SWC_imputed","ApoFrac","SWA","LWAtlp","water_loss.m2","CFT.g.m2","water_loss.g","n_vals","nDatasets","Dataset","T.S.L.H","Family","Genus","Species_name","Gymno.Angio"
"1","Abies balsamea","TemperateConifer","W","E",1.495,91.6,-1.2,86.938936617188,0.820830298616169,1,1,NA,71.3621133048586,65.3676957872505,5.99441751760813,3.98917734531066,-74.3672250546249,2,1,"mb14",NA,"Pinaceae","Abies","balsamea","Gymnosperm"
"2","Abies grandis","TemperateConifer","W","E",2.375,90.9,-2.105,100.96568107667,1.89435600578871,1,1,NA,191.264944326137,173.859834392458,17.4051099336784,7.34075223004829,-170.302604920405,2,1,"mb14",NA,"Pinaceae","Abies","grandis","Gymnosperm"
"3","Acer rubrum","Temperate","W","CD",1.8,90.0666666666667,-1.63,45.7178323680452,2.23408443969605,1,1,NA,102.137497910082,92.1695286587442,9.96796925133791,5.69204471252408,-198.982454095595,3,2,"mb12",NA,"Sapindaceae","Acer","rubrum","Angiosperm"
"4","Achyrocline satureioides","TropicalDry","W","E",2.05,55.94,-1.15,91.65015472,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","S","Asteraceae","Achyrocline","satureioides","Angiosperm"
"5","Aegiphila integrifolia","TropicalDry","W","DD",1.114997518,84.90929,-1.093626615,58.26553758,4.22906219,0,0,NA,246.408581959602,209.223777440966,37.1848045186359,33.3496747018193,-354.857605728745,1,1,"Contributed","T","Lamiaceae","Aegiphila","integrifolia","Angiosperm"
"6","Aglaia abbreviata","TropicalDry","W","E",2.1286,NA,-1.294042603,47.79443064,2.208462129,0,0,NA,105.552190045557,NA,NA,NA,NA,1,1,"Contributed","T","Meliaceae","Aglaia","abbreviata","Angiosperm"
"7","Aglaia perviridis","TropicalDry","W","E",1.896194667,NA,-1.163909028,53.94713222,1.866254384,0,0,NA,100.679072009803,NA,NA,NA,NA,1,1,"Contributed","T","Meliaceae","Aglaia","perviridis","Angiosperm"
"8","Albizia niopoides","TropicalDry","W","DD",1.98575,88.9675,-1.65625,NA,2.167,1,0,NA,NA,NA,NA,16.46582630158,-190.6255725,1,1,"Contributed","T","Fabaceae","Albizia","niopoides","Angiosperm"
"9","Allophylus racemosus","TropicalDry","W","DD",1.443285714,83.92285714,-1.170857143,NA,2.031428571,1,0,NA,NA,NA,NA,14.17896215456,-168.451861183147,1,1,"Contributed","T","Sapindaceae","Allophylus","racemosus","Angiosperm"
"10","Alnus nepalensis","Temperate","W","CD",1.62,83,-1.35,52.7164703591851,2.56306306306306,1,1,NA,135.115637992686,112.145979533929,22.9696584587566,14.178801517751,-210.171171171171,1,1,"mb12",NA,"Betulaceae","Alnus","nepalensis","Angiosperm"
