"","Species","Biome","Growth.Form","Ever.Decid","TLP","totRWCtlp","Po","LMA","SWC","Ref","LMA_imputed","SWC_imputed","Lat","Lon","Treatment","ApoFrac","sympRWCtlp","T.S.L.H","Wild.Garden","Life.Stage","Psi.PD","Psi.min","Rehydrated","Elev","SWA","LWAtlp","water_loss.m2","CFT.g.m2","Other.Notes","Dataset","RWCslope","water_loss.g","Family","Genus","Species_name","Gymno.Angio"
"4100","Betula papyrifera","Temperate","W","CD",-1.33,72.9,-0.9,68.6,1.31155051067075,"Kubiske & Pregitzer 1997",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.9723650320134,65.5898541083378,24.3825109236756,18.3327149802072,NA,"mb12",-36.043,-94.3004817172269,"Betulaceae","Betula","papyrifera","Angiosperm"
"5100","Casearia sylvestris","TropicalDry","W","E",-2.73,90.7,-2.46,62.8,1.43882908663967,"Wenhui 1998",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.3584666409713,81.955129243361,8.40333739761031,3.07814556689023,NA,"mb12",-25.389,-129.062969071578,"Salicaceae","Casearia","sylvestris","Angiosperm"
"6101","Celtis australis","Med/TempDry","W","CD",-2.01,70,-1.58,47.8826492095198,2.2381605632121,"Shrestha et al. 2008",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.169057122866,75.0183399860064,32.1507171368599,15.9953816601293,NA,"mb12",-60.3,-154.433078861635,"Cannabaceae","Celtis","australis","Angiosperm"
"7101","Cordia alliodora","TropicalMoist","W","CD",-1.97,91.3,-1.76,60.7635171261786,1.90907272638656,"Choat et al. 2007",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.00197330491,105.909801627383,10.0921716775272,5.1229297855468,NA,"mb12",-17.139,-172.389267192706,"Cordiaceae","Cordia","alliodora","Angiosperm"
"8101","Cordia collococca","TropicalMoist","W","DD",-2.09,86,-1.8,76.8301050641142,1.67211440963535,"Choat et al. 2007",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.468725771503,110.483104163493,17.9856216080104,8.60556057799543,NA,"mb12",-29.26,-142.129724819005,"Cordiaceae","Cordia","collococca","Angiosperm"
"9101","Cordia cymosa","TropicalMoist","W","E",-1.5,93,-1.34,62.9024772306711,2.45316525095746,"Choat et al. 2007",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.310171341425,143.508459347525,10.8017119938998,7.20114132926652,NA,"mb12",-10.5,-225.691203088086,"Cordiaceae","Cordia","cymosa","Angiosperm"
"1012","Cordia dentata","TropicalMoist","W","CD",-2.14,89,-1.88,86.0704307707574,2.15215212619028,"Choat et al. 2007",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.236660585399,164.860627921005,20.3760326643939,9.52151059083827,NA,"mb12",-23.54,-189.389387104745,"Cordiaceae","Cordia","dentata","Angiosperm"
"1112","Cordia lasiocalyx","TropicalMoist","W","E",-1.63,91,-1.48,59.5533980811271,1.63707245770368,"Choat et al. 2007",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.4932277612763,88.7188372627615,8.77439049851486,5.38306165553059,NA,"mb12",-14.67,-147.336521193331,"Cordiaceae","Cordia","lasiocalyx","Angiosperm"
"1212","Cordia panamensis","TropicalMoist","W","E",-2,90,-1.79,66.5841032575375,1.54803097632085,"Choat et al. 2007",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.074254373214,92.7668289358926,10.3074254373214,5.1537127186607,NA,"mb12",-20,-137.774756892556,"Cordiaceae","Cordia","panamensis","Angiosperm"
"1312","Eucalyptus rubida","Med/TempDry","W","E",-1.13,83.9,-1,54.2,0.163602513381429,"Merchant et al. 2007",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.86725622527345,7.43962797300443,1.42762825226903,1.26338783386639,NA,"mb12",-18.193,-13.5626483593205,"Myrtaceae","Eucalyptus","rubida","Angiosperm"
