"","Species","Biome","Growth.Form","Ever.Decid","TLP","totRWCtlp","Po","LMA","SWC","Ref","LMA_imputed","SWC_imputed","Lat","Lon","Treatment","ApoFrac","sympRWCtlp","T.S.L.H","Wild.Garden","Life.Stage","Psi.PD","Psi.min","Rehydrated","Elev","SWA","LWAtlp","water_loss.m2","CFT.g.m2","Other.Notes","Dataset","RWCslope","water_loss.g","Family","Genus","Species_name","Gymno.Angio"
"1","Quercus rubra","Temperate","W","CD",-1.6825,90.267,-1.11,65.0688237465764,1.313,"Holtzman, N. M., Anderegg, L. D. L., Kraatz, S., Mavrovic, A., Sonnentag, O., Pappas, C., Cosh, M. H., Langlois, A., Lakhankar, T., Tesser, D., Steiner, N., Colliander, A., Roy, A., & Konings, A. G. (2021). L-band vegetation optical depth as an indicator of plant water potential in a temperate deciduous forest stand. Biogeosciences, 18(2), 739–753. https://doi.org/10.5194/bg-18-739-2021",1,0,"42.53691",-72.17265,"NA",NA,NA,"T","Wild","Ad",-0.2,-1.6,"N",NA,85.4353655792548,77.1199414474259,8.31542413182888,4.94230260435594,"predawn water potential was measured at ~20m, so soil water potential was ~0MPa","Contributed",-16.3757725,-117.207571,"Fagaceae","Quercus","rubra","Angiosperm"
"2","Cortaderia modesta","TropicalDry","H","E",-2.82,80.87,-2.32,160.8932612,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"H","Wild","Ad",NA,-4.18,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-53.9466,NA,"Poaceae","Cortaderia","modesta","Angiosperm"
"3","Machaerina ensifolia","TropicalDry","H","E",-2.28,89.28,-1.69,273.8895723,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"H","Wild","Ad",NA,-3,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-24.4416,NA,NA,"Machaerina","ensifolia","Angiosperm"
"4","Chionolaena capitata","TropicalDry","W","E",-1.13,77.09,-0.84,52.83511041,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"S","Wild","Ad",NA,-3.25,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-25.8883,NA,NA,"Chionolaena","capitata","Angiosperm"
"5","Chusquea pinifolia","TropicalDry","H","E",-3.18,83.24,-2.35,88.90726072,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"H","Wild","Ad",NA,-3.55,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-53.2968,NA,"Poaceae","Chusquea","pinifolia","Angiosperm"
"6","Mikania glaziovii ","TropicalDry","W","E",-1.6,80.4,-1.18,58.48856511,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"L","Wild","Ad",NA,-2.4,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-31.36,NA,NA,"Mikania","","Angiosperm"
"7","Eryngium glaziovianum","TropicalDry","H","E",-1.91,94.26,-1.21,144.6276026,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"H","Wild","Ad",NA,-4.8,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-10.9634,NA,NA,"Eryngium","glaziovianum","Angiosperm"
"8","Hypochaeris lutea","TropicalDry","H","E",-1.73,84.61,-1.38,30.80801772,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"H","Wild","Ad",NA,-3.85,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-26.6247,NA,"Asteraceae","Hypochaeris","lutea","Angiosperm"
"9","Leptostelma maximum","TropicalDry","H","E",-1.65,77.15,-1.26,66.91689969,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"H","Wild","Ad",NA,-2.5,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-37.7025,NA,NA,"Leptostelma","maximum","Angiosperm"
"10","Pleroma hospita","TropicalDry","W","E",-2.3,76.24,-1.67,118.3240787,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"S","Wild","Ad",NA,-2.3,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-54.648,NA,NA,"Pleroma","hospita","Angiosperm"
"11","Baccharis uncinella","TropicalDry","W","E",-2.13,66.32,-1.42,109.950247,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"S","Wild","Ad",NA,-3.6,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-71.7384,NA,"Asteraceae","Baccharis","uncinella","Angiosperm"
"12","Achyrocline satureioides","TropicalDry","W","E",-2.05,55.94,-1.15,91.65015472,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"S","Wild","Ad",NA,-2.55,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-90.323,NA,"Asteraceae","Achyrocline","satureioides","Angiosperm"
"13","Gamochaeta purpurea","TropicalDry","H","E",-1.83,78.04,-0.94,80.56612773,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"H","Wild","Ad",NA,-4.9,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-40.1868,NA,"Asteraceae","Gamochaeta","purpurea","Angiosperm"
"14","Quercus garryana","Med/TempDry","W","CD",-3.74397,89.9676,-3.32192,78.43137,2.662316,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.124561,89.9676,"T","Wild","Ad",-0.7,-2.1,"Y",710,208.80909125292,187.860527982062,20.9485632708579,5.595280750342,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-37.561004628,-236.8598649616,"Fagaceae","Quercus","garryana","Angiosperm"
"15","Quercus garryana","Med/TempDry","W","CD",-3.41249,86.45781,-2.85315,87.75,1.085335,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.189025,86.45781,"T","Wild","Ad",-0.8,-2,"Y",710,95.23814625,82.3408155323471,12.8973307176529,3.77944864824597,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-46.2125879531,-92.75035221635,"Fagaceae","Quercus","garryana","Angiosperm"
"16","Quercus garryana","Med/TempDry","W","CD",-3.54469,87.7429,-3.08409,116.1,1.027469,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.080835,87.7429,"T","Wild","Ad",-0.75,-2.5,"Y",710,119.2891509,104.667760385036,14.6213905149639,4.12487143162417,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-43.447619799,-89.1256407201,"Fagaceae","Quercus","garryana","Angiosperm"
"17","Quercus garryana","Med/TempDry","W","CD",-2.76472,91.09078,-2.23974,107.625,1.133841,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.552489,91.09078,"T","Wild","Ad",-0.8,-2.2,"Y",710,122.029637625,111.157748743786,10.871888881214,3.93236525985056,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-24.6314987184,-102.14862008598,"Fagaceae","Quercus","garryana","Angiosperm"
"18","Quercus garryana","Med/TempDry","W","CD",-3.40788,86.57944,-2.86261,140.1667,1.066578,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.183185,86.57944,"T","Wild","Ad",-0.6,-2,"Y",710,149.4987185526,129.435153330017,20.0635652225828,5.88740367107492,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-45.7356580128,-91.27714795632,"Fagaceae","Quercus","garryana","Angiosperm"
"19","Quercus garryana","Med/TempDry","W","CD",-3.66956,86.53124,-3.11476,120.0952,1.155093,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.141146,86.53124,"T","Wild","Ad",-0.75,-2.2,"Y",710,138.7211248536,120.037109477768,18.6840153758317,5.09162280377804,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-49.4244229456,-98.79653660532,"Fagaceae","Quercus","garryana","Angiosperm"
"20","Quercus garryana","Med/TempDry","W","CD",-3.55258,87.66201,-3.07312,120.6222,1.022435,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.101092,87.66201,"T","Wild","Ad",-0.9,-1.9,"Y",710,123.328359057,108.112118449383,15.2162406076168,4.28315213383422,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-43.8316965142,-88.60627219435,"Fagaceae","Quercus","garryana","Angiosperm"
"21","Quercus garryana","Med/TempDry","W","CD",-4.31606,72.92037,-2.94231,141.875,1.106896,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.149915,72.92037,"T","Wild","Ad",-0.733,-3.8,"N",710,157.04087,114.514783455219,42.526086544781,9.85298780479905,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-116.8773078578,-79.60836987152,"Fagaceae","Quercus","garryana","Angiosperm"
"22","Quercus garryana","Med/TempDry","W","CD",-3.47351,80.68989,-2.69406,130.5414,1.145004,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.14361,80.68989,"T","Wild","Ad",-0.75,-3.4,"N",710,149.4704251656,120.607521648655,28.862903516945,8.30943440984625,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-67.0738601861,-91.24524280956,"Fagaceae","Quercus","garryana","Angiosperm"
"23","Quercus garryana","Med/TempDry","W","CD",-3.82191,78.8352,-2.84501,128.5714,1.194348,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.174642,78.8352,"T","Wild","Ad",-1.7,-3.7,"N",710,153.5589944472,121.058540390439,32.500454056761,8.50372040596481,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-80.889960768,-92.9623154496,"Fagaceae","Quercus","garryana","Angiosperm"
"24","Quercus garryana","Med/TempDry","W","CD",-3.64311,83.01349,-2.84267,114.4665,1.17865,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.227665,83.01349,"T","Wild","Ad",-0.8,-3.7,"N",710,134.915940225,111.998430547086,22.9175096779136,6.29064444332277,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-61.8837244461,-96.6651999885,"Fagaceae","Quercus","garryana","Angiosperm"
"25","Quercus garryana","Med/TempDry","W","CD",-3.11405,81.56805,-2.39937,95.38813,1.260052,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.199612,81.56805,"T","Wild","Ad",-0.67,-3,"N",710,120.19400398276,98.0399052656597,22.1540987171003,7.11423988603276,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-57.3980138975,-101.5199325386,"Fagaceae","Quercus","garryana","Angiosperm"
"26","Quercus garryana","Med/TempDry","W","CD",-3.47001,86.7425,-2.88115,134.8318,1.000037,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.243705,86.7425,"T","Wild","Ad",-0.733,-3.8,"Y",710,134.8367887766,116.960801504542,17.8759872720577,5.15156650040136,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-46.003657575,-85.7456724725,"Fagaceae","Quercus","garryana","Angiosperm"
"27","Quercus garryana","Med/TempDry","W","CD",-3.30474,90.8475,-2.9333,127.8261,1.076189,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.198605,90.8475,"T","Wild","Ad",-0.75,-3.4,"Y",710,137.5650427329,124.974402196771,12.5906405361287,3.80987325360805,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-30.24663285,-96.6928911775,"Fagaceae","Quercus","garryana","Angiosperm"
"28","Quercus garryana","Med/TempDry","W","CD",-3.73263,85.25074,-3.18468,101.0945,1.216326,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.004434,85.25074,"T","Wild","Ad",-1.7,-3.7,"Y",710,122.963868807,104.827608090597,18.1362607164033,4.85884234880054,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-55.0535303538,-102.47636558124,"Fagaceae","Quercus","garryana","Angiosperm"
"29","Quercus garryana","Med/TempDry","W","CD",-3.48467,86.57082,-3.13115,96,1.175314,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",NA,86.57082,"T","Wild","Ad",-0.8,-3.7,"Y",710,112.830144,97.6779808679808,15.1521631320192,4.34823473442799,"BAD ApoFrac, Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-46.7962606706,-100.57258273748,"Fagaceae","Quercus","garryana","Angiosperm"
"30","Quercus garryana","Med/TempDry","W","CD",-2.38403,89.38109,-2.04792,89.4958,1.207942,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.272918,89.38109,"T","Wild","Ad",-0.67,-3,"Y",710,108.1057356436,96.6260848707682,11.4796507728318,4.81522915937795,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-25.3158000073,-106.75923061678,"Fagaceae","Quercus","garryana","Angiosperm"
"31","Quercus garryana","Med/TempDry","W","CD",-4.08675,67.74277,-2.6952,120.8974,1.170554,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.053881,67.74277,"T","Wild","Ad",-2.25,-4,"N",710,141.5169351596,95.867491896217,45.6494432633831,11.1701090752757,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-131.8272347025,-78.12601639458,"Fagaceae","Quercus","garryana","Angiosperm"
"32","Quercus garryana","Med/TempDry","W","CD",-4.43359,79.39645,-3.42763,121.4516,0.999909,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.094355,79.39645,"T","Wild","Ad",-2.65,-4.3,"N",710,121.4405479044,96.419483896643,25.021064007757,5.64352229406801,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-91.3476932445,-78.38931592305,"Fagaceae","Quercus","garryana","Angiosperm"
"33","Quercus garryana","Med/TempDry","W","CD",-3.9517,84.48108,-3.20049,146.3158,0.895187,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.202592,84.48108,"T","Wild","Ad",-2.65,-4.6,"Y",710,130.9800020546,110.653320319748,20.3266817348517,5.14378159649055,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-61.326116164,-74.73117756196,"Fagaceae","Quercus","garryana","Angiosperm"
"34","Quercus garryana","Med/TempDry","W","CD",-3.80105,87.15858,-3.1777,124.9583,0.983712,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.227216,87.15858,"T","Wild","Ad",-3.6,-5,"Y",710,122.9229792096,107.137923172783,15.7850560368174,4.15281462669984,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-48.810879491,-84.75522904896,"Fagaceae","Quercus","garryana","Angiosperm"
"35","Quercus garryana","Med/TempDry","W","CD",-3.47167,89.00201,-2.99798,118.2745,0.963731,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.204501,89.00201,"T","Wild","Ad",-2.25,-4,"Y",710,113.9848021595,101.448765016478,12.5360371430216,3.61095298315266,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-38.1813919433,-84.81026509931,"Fagaceae","Quercus","garryana","Angiosperm"
"36","Quercus garryana","Med/TempDry","W","CD",-3.99771,84.97861,-3.25994,110.8684,1.108932,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.202767,84.97861,"T","Wild","Ad",-4.2,-5.05,"Y",710,122.9455165488,104.47739102049,18.4681255283098,4.61967614667142,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-60.0511610169,-93.12656794452,"Fagaceae","Quercus","garryana","Angiosperm"
"37","Quercus garryana","Med/TempDry","W","CD",-4.01445,82.99235,-3.2163,134.2857,0.98002,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",0,0,"39.56755",-123.473,"NA",0.175877,82.99235,"T","Wild","Ad",-2.65,-4.3,"Y",710,131.602671714,109.220149918234,22.3825217957661,5.57548899494728,"Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day","Contributed",-68.2763605425,-80.354142847,"Fagaceae","Quercus","garryana","Angiosperm"
"38","Sequoiadendron giganteum","TemperateConifer","W","E",-2.45294,82.966,-1.92993,584.63561,1.26894,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"38.24825",-120.2385,"Tree: 66, Height: 86.3",0.2291,77.904,"T","Wild","Ad",NA,NA,"Y",1504,741.8675109534,615.497799137598,126.369711815802,51.5176530268993,"Metadata and raw data files are provided.","Contributed",-41.78337996,-104.00993604,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"39","Sequoiadendron giganteum","TemperateConifer","W","E",-2.70411,84.147,-2.1674,518.75127,1.07682,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"38.24825",-120.2385,"Tree: 66, Height: 84",0.23512,79.274,"T","Wild","Ad",NA,NA,"Y",1504,558.6017425614,470.046608313141,88.5551342482588,32.7483476072566,"Metadata and raw data files are provided.","Contributed",-42.86825583,-89.53435254,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"40","Sequoiadendron giganteum","TemperateConifer","W","E",-2.4437,84.619,-1.9356,575.87439,1.13159,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"38.24825",-120.2385,"Tree: 66, Height: 83.9",0.28475,78.495,"T","Wild","Ad",NA,NA,"Y",1504,651.6537009801,551.422845232351,100.230855747749,41.0160231402174,"Metadata and raw data files are provided.","Contributed",-37.5865497,-94.62242421,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"41","Sequoiadendron giganteum","TemperateConifer","W","E",-2.84366,80.165,-2.15827,570.4681,1.05203,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"38.24825",-120.2385,"Tree: 66, Height: 81.3",0.23228,74.165,"T","Wild","Ad",NA,NA,"Y",1504,600.149555243,481.109890960551,119.039664282449,41.861426570845,"Metadata and raw data files are provided.","Contributed",-56.4039961,-83.28395495,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
