Contributor,Species,Treatment,Co-author?,Biomes,Growth_form,Tree/Shrub/Liana/Herb,Evergreen_Deciduous,Wild/Garden/Potted,Life Stage,πtlp (MPa),πtlp SD,πtlp SE,total RWCtlp (%),tot RWCtlp SD,tot RWCtlp SE,LMA (g/m2),LMA SD,LMA SE,SWC,SWC SD,SWC SE,CFT* (mol m-2 MPa-1),CFT SD,CFT SE,πo (MPa),ε (MPa),af,RWCtlp (%),Ψpd (MPa),Ψmin (MPa),Latitude,Longitude,Elevation (m),Site Name,Rehydrated?,Month Collected,Year Collected,Other Env Notes,Methods notes,Reference,Other Notes,,,,,,,,,,
Natan Holtzman,Quercus rubra,NA,Y,Temperate,W,T,CD,Wild,Ad,-1.6825,0.05,0.021,90.267,0.861,0.497,,,,1.313,,,,,,-1.11,11.88,,,-0.2,-1.6,42.53691,-72.17265,,Harvard Forest,no,July,,,leaves collected predawn when water potential ~0,"Holtzman, N. M., Anderegg, L. D. L., Kraatz, S., Mavrovic, A., Sonnentag, O., Pappas, C., Cosh, M. H., Langlois, A., Lakhankar, T., Tesser, D., Steiner, N., Colliander, A., Roy, A., & Konings, A. G. (2021). L-band vegetation optical depth as an indicator of plant water potential in a temperate deciduous forest stand. Biogeosciences, 18(2), 739–753. https://doi.org/10.5194/bg-18-739-2021","predawn water potential was measured at ~20m, so soil water potential was ~0MPa",,,,,,,,,,
Ilaine Silveira Matos; Bruno H. P. Rosado,Cortaderia modesta,NA,Y,TropicalDry,H,H,E,Wild,Ad,-2.82,0.11,,80.87,3.47,,160.8932612,,,,,,,,,-2.32,13.8,,,,-4.18,-22.372917,-44.704333,2400,"Itatiaia National Park, RJ, Brazil",Y,June 2017,,dry season,mean for 5 individuals ,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",,,,,,,,,,,
W. Jesse Hahm,Quercus garryana,NA,Y,Med/TempDry,W,T,CD,Wild,Ad,-3.74397,,,89.9676,,,78.43137,,,2.662316,,,0.311189,,,-3.32192,33.09158,0.124561,89.9676,-0.7,-2.1,39.56755,-123.473,710,Sagehorn,Y,June,,dry season,The CFT* provided is for pre-turgor loss; post-turgor loss values are also available in spreadsheet in the data upload folder,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 66, Height: 86.3",Y,TemperateConifer,W,T,E,Wild,Ad,-2.45294,,,82.966,,,584.63561,,,1.26894,,,2.86278,,,-1.92993,11.20409,0.2291,77.904,,,38.24825,-120.23850,1504,Calaveras Big Trees State Park,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,
Kevin Mueller and *Julie Kray,Artemisia frigida,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.57860532,0.202247056,0.090447633,78.18701103,6.384514298,2.855241595,NA,NA,NA,1.902109371,0.18256423,0.081645206,,NA,NA,-1.120029928,5.003423502,,,-1.62,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",June,2013,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1111/gcb.16314,"PV curves for individual leaves are provided; for Artemisia frigida, the PV curves were collected on semi-woody branch tips (because the leaves are tiny)",,,,,,,,,,
Kevin Mueller and *Julie Kray,Bouteloua gracilis,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-2.643125,0.340464756,0.085116189,86.31720758,4.771886322,1.19297158,76.39186986,16.11696574,4.470042029,1.430868093,0.135869504,0.033967376,0.312531515,0.097712367,0.027100535,-2.019375,15.64833354,,,-1.79,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",June,2013,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1111/gcb.16314,"PV curves for individual leaves are provided; for Artemisia frigida, the PV curves were collected on semi-woody branch tips (because the leaves are tiny)",,,,,,,,,,
Kevin Mueller and *Julie Kray,Carex duriuscula,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-3.673079773,0.33085981,0.116976608,76.87537308,7.954601919,2.812376479,77.97148411,8.737388284,3.089133253,1.272756033,0.144967372,0.051253706,0.343360817,0.144002931,0.050912724,-2.653326216,13.40619638,,,-3.34,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",June,2013,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1111/gcb.16314,"PV curves for individual leaves are provided; for Artemisia frigida, the PV curves were collected on semi-woody branch tips (because the leaves are tiny)",,,,,,,,,,
Kevin Mueller and *Julie Kray,Pascopyrum smithii,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-2.667595976,0.285994676,0.101114387,86.31443816,6.199221545,2.191755796,102.1624193,19.04202651,8.51585314,1.769532396,0.326314262,0.115369514,0.571776087,0.280239208,0.125326784,-2.073074159,17.70193511,,,-1.953333333,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",June,2013,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1111/gcb.16314,"PV curves for individual leaves are provided; for Artemisia frigida, the PV curves were collected on semi-woody branch tips (because the leaves are tiny)",,,,,,,,,,
Kevin Mueller and *Julie Kray,Spharalcea coccinea,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.54688474,0.263791487,0.107692423,76.93846446,6.395880539,2.860324732,99.32841513,9.508159771,4.252178318,2.458205336,0.369532196,0.165259822,2.052597376,0.533312933,0.217724093,-1.022097293,3.889739694,,,-1.21,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",June,2013,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1111/gcb.16314,"PV curves for individual leaves are provided; for Artemisia frigida, the PV curves were collected on semi-woody branch tips (because the leaves are tiny)",,,,,,,,,,
Kevin Mueller and *Julie Kray,Artemisia frigida,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.54,0.112472219,0.050299105,87.654,3.094047511,1.383700112,46.810548,,,1.542,0.066105976,0.029563491,,,,-1.128,9.602,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",July,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
