Contributor,Species,Treatment,Co-author?,Biomes,Growth_form,Tree/Shrub/Liana/Herb,Evergreen_Deciduous,Wild/Garden/Potted,Life Stage,πtlp (MPa),πtlp SD,πtlp SE,total RWCtlp (%),tot RWCtlp SD,tot RWCtlp SE,LMA (g/m2),LMA SD,LMA SE,SWC,SWC SD,SWC SE,CFT* (mol m-2 MPa-1),CFT SD,CFT SE,πo (MPa),ε (MPa),af,RWCtlp (%),Ψpd (MPa),Ψmin (MPa),Latitude,Longitude,Elevation (m),Site Name,Rehydrated?,Month Collected,Year Collected,Other Env Notes,Methods notes,Reference,Other Notes,,,,,,,,,,
Kevin Mueller and *Julie Kray,Astragalus drummondii,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.51,0.330983383,0.148020269,89.23,5.583869626,2.497182412,80.37173783,,,2.942,0.318857335,0.142597335,,,,-1.076,10.966,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",August,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Astragalus laxmannii,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-2.256,0.245112219,0.109617517,83.338,5.25602226,2.350564613,,,,2.31,0.302489669,0.135277493,,,,-1.74,11.594,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",September,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Astragalus shortianus,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.315714286,0.167417357,0.063277813,93.03142857,2.052343608,0.77571297,106.7638585,,,4.945714286,1.078175266,0.407511946,,,,-0.967142857,14.46571429,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",October,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Bouteloua gracilis,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-2.545,0.129112354,0.052709898,90.44666667,3.733602371,1.524236785,136.988625,,,1.24,0.336689768,0.137453022,,,,-1.923333333,23.72166667,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",November,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Carex duriuscula,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-3.555,0.327093259,0.133535264,83.595,3.303287756,1.348561579,86.5815329,,,1.525,0.168611981,0.068835553,,,,-2.658333333,18.93,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",December,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Heterotheca villosa,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.658571429,0.199368049,0.07535404,80.99571429,4.443297789,1.679408707,86.25120635,,,3.531428571,1.119321648,0.423063817,,,,-1.254285714,7.17,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",January,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Eriogonum effusum,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.602857143,0.303299318,0.114636367,85.82714286,5.525787167,2.088551234,98.7459148,,,2.315714286,0.247780625,0.093652273,,,,-1.172857143,10.78857143,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",February,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Erigeron pumilus,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.66,0.332625916,0.135793962,86.475,3.62601572,1.480314719,96.4729552,,,3.266666667,0.333986028,0.136349225,,,,-1.27,9.041666667,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",March,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Koeleria macrantha,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-2.144,0.277722884,0.124201449,88.854,7.444829078,3.32942878,119.2081792,,,2.09,1.00222253,0.448207541,,,,-1.672,18.792,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",April,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Leucocrinum montanum,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.19625,0.262729492,0.092888903,89.05875,4.504893966,1.592720536,90.33237305,,,4.31875,0.450537378,0.159289017,,,,-0.80125,8.02625,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",May,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Linaria dalmatica,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.396666667,0.232178093,0.094786309,88.178,5.854209597,2.618082123,81.13886223,,,3.634,0.328907282,0.147091808,,,,-1.071666667,12.098,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",June,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Liatris punctata,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.5,0.157162337,0.070285134,83.136,2.711047768,1.21241742,161.9407695,,,2.966,0.474636703,0.212263987,,,,-1.15,7.042,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",July,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Mertensia lanceolata,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.48,0.126095202,0.056391489,81.302,9.361120125,4.186420189,77.3133015,,,4.09,0.372155881,0.16643317,,,,-1.122,7.272,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",August,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Pascopyrum smithii,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.936,0.219613297,0.098214052,90.762,2.19900432,0.983424629,132.4774721,,,1.666,0.128957357,0.057671483,,,,-1.504,17.148,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",September,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Penstemon albidus,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.741666667,0.3099301,0.126528433,79.055,3.873209264,1.581231061,103.174478,,,2.328333333,0.354029189,0.144531811,,,,-1.385,7.136666667,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",October,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Plantago patagonica,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.682,0.17977764,0.080399005,82.224,7.930235179,3.546508988,89.94073654,,,3.008,0.221065601,0.098863542,,,,-1.282,10.208,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",November,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Poa secunda,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-2.135,0.257487864,0.128743932,81.94,4.332489662,2.166244831,67.66720122,,,2.0475,0.427658353,0.213829176,,,,-1.4525,8.4475,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",December,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Sphaeralcea coccinia,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-1.954,0.360283839,0.113931754,85.344,4.446139899,1.405992888,109.5418791,,,2.149,0.396385054,0.12534796,,,,-1.464,9.743,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",January,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Kevin Mueller and *Julie Kray,Hesperostipa comata,NA,Y*,"semiarid grassland (MAP 397 mm, MAT 8 C)",H,H,A,Wild,Ad,-2.654,0.30956421,0.138441323,87.374,5.488026057,2.454319865,167.7638365,,,1.402,0.092574295,0.041400483,,,,-2.068,19.274,,,,,41.183333,-104.9,1930,"High Plains Grassland Research Station, Cheyenne, WY","Y, plateau effects were common but noted and PV curves were adjusted accordingly",February,2014,,benchtop following Sack; https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,https://doi.org/10.1007/s00442-019-04336-w,PV curves for individual leaves are provided; LMA is based on separate samples collected in an earlier year from the same site (see: https://doi.org/10.1111/1365-2745.13454),,,,,,,,,,
Sybil Gotsch,Anthurium scandens,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-1.488771514,,,87.44091023,,,,,,,,,,,,-1.35526078,11.19260613,,,,,10.279247,-84.78477,1070,"University of Georgia, San Luis",,,,,,https://www.jstor.org/stable/26641702,Summarized individual lat-lons into site lat-lons for conversion to dd.dddd,,,,,,,,,,
Sybil Gotsch,Anthurium scandens,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-0.779858476,,,90.41086732,,,,,,,,,2.014046237,,,-0.697817655,7.735401469,,,,,10.279247,-84.78477,1554,"Buen Amigo, Private Farm, San Luis",,,,,,https://www.jstor.org/stable/26641703,,,,,,,,,,,
Sybil Gotsch,Anthurium scandens,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-1.297090957,,,86.19579916,,,,,,,,,,,,-1.100306447,8.032459298,,,,,10.279247,-84.78477,1474,"Lower CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641704,,,,,,,,,,,
Sybil Gotsch,Anthurium scandens,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-0.49271987,,,97.66844343,,,,,,,,,,,,-0.479275246,38.24530366,,,,,10.279247,-84.78477,1100,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641705,,,,,,,,,,,
Sybil Gotsch,Anthurium scandens,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-0.812218213,,,91.35092642,,,,,,,,,1.738190289,,,-0.626714286,9.221076388,,,,,10.279247,-84.78477,1592,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641706,,,,,,,,,,,
Sybil Gotsch,Cavendishia capitulata,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.357368698,,,82.2201577,,,,,,,,,,,,-1.143924799,7.963477296,,,,,10.279247,-84.78477,1554,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641707,,,,,,,,,,,
Sybil Gotsch,Cavendishia capitulata,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.503913411,,,91.44842004,,,,,,,,,1.03694588,,,-1.413597528,19.19589683,,,,,10.279247,-84.78477,1592,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641708,,,,,,,,,,,
Sybil Gotsch,Cavendishia complectens,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.032159261,,,74.65050378,,,,,,,,,,,,-0.812135385,2.772829535,,,,,10.279247,-84.78477,1592,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641709,,,,,,,,,,,
Sybil Gotsch,Cavendishia limonensis,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.937052407,,,94.79443427,,,,,,,,,,,,-0.887684367,21.56843586,,,,,10.279247,-84.78477,1592,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641710,,,,,,,,,,,
Sybil Gotsch,Cavendishia melastomoides,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.482407879,,,85.43968454,,,,,,,,,,,,-1.351249597,15.92591306,,,,,10.279247,-84.78477,1554,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641711,,,,,,,,,,,
Sybil Gotsch,Cavendishia quercina,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.725474941,,,79.31196378,,,,,,,,,,,,-1.377884526,22.87334237,,,,,10.279247,-84.78477,1635,"Lower CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641712,,,,,,,,,,,
Sybil Gotsch,Cavendishia quercina,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-2.227286361,,,69.10149722,,,,,,,,,,,,-1.753228794,5.119066531,,,,,10.279247,-84.78477,1474,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641713,,,,,,,,,,,
Sybil Gotsch,Clusia stenophylla,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.375661451,,,95.27631421,,,,,,,,,8.310824739,,,-0.335859198,6.932963526,,,,,10.279247,-84.78477,1070,"University of Georgia, San Luis",,,,,,https://www.jstor.org/stable/26641714,,,,,,,,,,,
Sybil Gotsch,Clusia stenophylla,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.669316403,,,93.62944186,,,,,,,,,,,,-1.549061275,29.2042916,,,,,10.279247,-84.78477,1554,"Buen Amigo, Private Farm, San Luis",,,,,,https://www.jstor.org/stable/26641715,,,,,,,,,,,
Sybil Gotsch,Clusia stenophylla,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.877523392,,,89.09593799,,,,,,,,,,,,-0.727965157,10.16366419,,,,,10.279247,-84.78477,1474,"Lower CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641716,,,,,,,,,,,
