Contributor,Species,Treatment,Co-author?,Biomes,Growth_form,Tree/Shrub/Liana,Evergreen_Deciduous,Wild/Garden/Potted,Life Stage,πtlp (MPa),πtlp SD,πtlp SE,total RWCtlp (%),tot RWCtlp SD,tot RWCtlp SE,LMA (g/m2),SWC,CFT* (mol m-2 MPa-1),πo (MPa),ε (MPa),af,RWCtlp (%),Ψpd (MPa),Ψmin (MPa),Latitude,Longitude,Elevation (m),Site Name,Rehydrated?,Month Collected,Year Collected,Other Env Notes,Methods notes,Reference,Other Notes,,,,,,,,,,,,,
Natan Holtzman,Quercus rubra,NA,Y,Temperate,W,T,CD,Wild,Ad,-1.6825,0.05,0.021,90.267,0.861,0.497,,1.313,,-1.11,11.88,,,-0.2,-1.6,42.53691,-72.17265,,Harvard Forest,no,July,,,leaves collected predawn when water potential ~0,"Holtzman, N. M., Anderegg, L. D. L., Kraatz, S., Mavrovic, A., Sonnentag, O., Pappas, C., Cosh, M. H., Langlois, A., Lakhankar, T., Tesser, D., Steiner, N., Colliander, A., Roy, A., & Konings, A. G. (2021). L-band vegetation optical depth as an indicator of plant water potential in a temperate deciduous forest stand. Biogeosciences, 18(2), 739–753. https://doi.org/10.5194/bg-18-739-2021","predawn water potential was measured at ~20m, so soil water potential was ~0MPa",,,,,,,,,,,,,
Ilaine Silveira Matos; Bruno H. P. Rosado,Cortaderia modesta,NA,Y,TropicalDry,H,NA,E,Wild,Ad,-2.82,0.11,,80.87,3.47,,160.8932612,,,-2.32,13.8,,,,-4.18,-22.372917,-44.704333,2400,"Itatiaia National Park, RJ, Brazil",Y,June 2017,,dry season,mean for 5 individuals ,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",,,,,,,,,,,,,,
Ilaine Silveira Matos; Bruno H. P. Rosado,Machaerina ensifolia,NA,Y,TropicalDry,H,NA,E,Wild,Ad,-2.28,0.47,,89.28,3.29,,273.8895723,,,-1.69,17.5,,,,-3,-22.372917,-44.704333,2400,"Itatiaia National Park, RJ, Brazil",Y,June 2017,,dry season,mean for 5 individuals ,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",,,,,,,,,,,,,,
Ilaine Silveira Matos; Bruno H. P. Rosado,Chionolaena capitata,NA,Y,TropicalDry,W,S,E,Wild,Ad,-1.13,0.29,,77.09,11.38,,52.83511041,,,-0.84,4.17,,,,-3.25,-22.372917,-44.704333,2400,"Itatiaia National Park, RJ, Brazil",Y,June 2017,,dry season,mean for 5 individuals ,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",,,,,,,,,,,,,,
Ilaine Silveira Matos; Bruno H. P. Rosado,Chusquea pinifolia,NA,Y,TropicalDry,H,bamboo,E,Wild,Ad,-3.18,0.13,,83.24,2.46,,88.90726072,,,-2.35,14.16,,,,-3.55,-22.372917,-44.704333,2400,"Itatiaia National Park, RJ, Brazil",Y,June 2017,,dry season,mean for 5 individuals ,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",,,,,,,,,,,,,,
Ilaine Silveira Matos; Bruno H. P. Rosado,Mikania glaziovii ,NA,Y,TropicalDry,W,L,E,Wild,Ad,-1.6,0.11,,80.4,5.8,,58.48856511,,,-1.18,6.45,,,,-2.4,-22.372917,-44.704333,2400,"Itatiaia National Park, RJ, Brazil",Y,June 2017,,dry season,mean for 5 individuals ,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",,,,,,,,,,,,,,
Ilaine Silveira Matos; Bruno H. P. Rosado,Eryngium glaziovianum,NA,Y,TropicalDry,H,NA,E,Wild,Ad,-1.91,0.22,,94.26,2.26,,144.6276026,,,-1.21,23.28,,,,-4.8,-22.372917,-44.704333,2400,"Itatiaia National Park, RJ, Brazil",Y,June 2017,,dry season,mean for 5 individuals ,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",,,,,,,,,,,,,,
Ilaine Silveira Matos; Bruno H. P. Rosado,Hypochaeris lutea,NA,Y,TropicalDry,H,NA,E,Wild,Ad,-1.73,0.09,,84.61,3.67,,30.80801772,,,-1.38,9.49,,,,-3.85,-22.372917,-44.704333,2400,"Itatiaia National Park, RJ, Brazil",Y,July 2017,,dry season,mean for 5 individuals ,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",,,,,,,,,,,,,,
Ilaine Silveira Matos; Bruno H. P. Rosado,Leptostelma maximum,NA,Y,TropicalDry,H,NA,E,Wild,Ad,-1.65,0.27,,77.15,5.75,,66.91689969,,,-1.26,5.96,,,,-2.5,-22.372917,-44.704333,2400,"Itatiaia National Park, RJ, Brazil",Y,July 2017,,dry season,mean for 5 individuals ,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",,,,,,,,,,,,,,
Ilaine Silveira Matos; Bruno H. P. Rosado,Pleroma hospita,NA,Y,TropicalDry,W,S,E,Wild,Ad,-2.3,0.17,,76.24,5.66,,118.3240787,,,-1.67,7.41,,,,-2.3,-22.372917,-44.704333,2400,"Itatiaia National Park, RJ, Brazil",Y,July 2017,,dry season,mean for 5 individuals ,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",,,,,,,,,,,,,,
Ilaine Silveira Matos; Bruno H. P. Rosado,Baccharis uncinella,NA,Y,TropicalDry,W,S,E,Wild,Ad,-2.13,0.13,,66.32,10.1,,109.950247,,,-1.42,3.95,,,,-3.6,-22.372917,-44.704333,2400,"Itatiaia National Park, RJ, Brazil",Y,August 2017,,dry season,mean for 5 individuals ,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",,,,,,,,,,,,,,
Ilaine Silveira Matos; Bruno H. P. Rosado,Achyrocline satureioides,NA,Y,TropicalDry,W,S,E,Wild,Ad,-2.05,0.25,,55.94,6.25,,91.65015472,,,-1.15,2.11,,,,-2.55,-22.372917,-44.704333,2400,"Itatiaia National Park, RJ, Brazil",Y,August 2017,,dry season,mean for 5 individuals ,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",,,,,,,,,,,,,,
Ilaine Silveira Matos; Bruno H. P. Rosado,Gamochaeta purpurea,NA,Y,TropicalDry,H,NA,E,Wild,Ad,-1.83,0.31,,78.04,6.24,,80.56612773,,,-0.94,4.26,,,,-4.9,-22.372917,-44.704333,2400,"Itatiaia National Park, RJ, Brazil",Y,August 2017,,dry season,mean for 5 individuals ,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",,,,,,,,,,,,,,
W. Jesse Hahm,Quercus garryana,NA,Y,Med/TempDry,W,T,CD,Wild,Ad,-3.74397,,,89.9676,,,78.43137,2.662316,0.311189,-3.32192,33.09158,0.124561,89.9676,-0.7,-2.1,39.56755,-123.473,710,Sagehorn,Y,June,,dry season,The CFT* provided is for pre-turgor loss; post-turgor loss values are also available in spreadsheet in the data upload folder,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day,,,,,,,,,,,,,
W. Jesse Hahm,Quercus garryana,NA,Y,Med/TempDry,W,T,CD,Wild,Ad,-3.41249,,,86.45781,,,87.75,1.085335,0.209647,-2.85315,21.02426,0.189025,86.45781,-0.8,-2,39.56755,-123.473,710,Sagehorn,Y,June,,dry season,The CFT* provided is for pre-turgor loss; post-turgor loss values are also available in spreadsheet in the data upload folder,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day,,,,,,,,,,,,,
W. Jesse Hahm,Quercus garryana,NA,Y,Med/TempDry,W,T,CD,Wild,Ad,-3.54469,,,87.7429,,,116.1,1.027469,0.229189,-3.08409,25.10435,0.080835,87.7429,-0.75,-2.5,39.56755,-123.473,710,Sagehorn,Y,June,,dry season,The CFT* provided is for pre-turgor loss; post-turgor loss values are also available in spreadsheet in the data upload folder,"Hahm, W. J., Dietrich, W. E., & Dawson, T. E. (2018). Controls on the distribution and resilience of Quercus garryana: ecophysiological evidence of oak's water‐limitation tolerance. Ecosphere, 9(5), e02218.",Individual tree coordinate locations can be provided if that level of detail is useful; samples could also be grouped by date and rehydration status to get mean +/- s.d. and s.e. if desired; pre-dawn and mid-day are for the individual trees from which leaves were taken on that particular sampling day,,,,,,,,,,,,,
